Activity ID,Type,Status,Progress,Created At,Media Title,Episode Length,Popularity,Average Score
786180712,ANIME_LIST,watched episode,11,1726076286,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,25,89519,77
785986830,ANIME_LIST,watched episode,8 - 9,1726034238,Shoushimin Series,23,30867,71
785754554,ANIME_LIST,watched episode,10,1725988736,Giji Harem,24,39836,72
785578728,ANIME_LIST,watched episode,3,1725949419,[Oshi no Ko] 2nd Season,24,93911,84
785337410,ANIME_LIST,watched episode,9,1725904666,Make Heroine ga Oosugiru!,24,48553,81
785146712,ANIME_LIST,watched episode,2,1725865988,[Oshi no Ko] 2nd Season,24,93911,84
785015003,ANIME_LIST,watched episode,8,1725840664,Non Non Biyori,24,101430,78
784366832,ANIME_LIST,watched episode,1,1725730613,Shinchou Yuusha: Kono Yuusha ga Ore TUEEE Kuse ni Shinchou Sugiru,24,150207,73
784001260,MANGA_LIST,completed,,1725656196,Hotel,,6731,70
784000781,MANGA_LIST,read chapter,2 - 4,1725656100,Hotel,,6731,70
783982885,ANIME_LIST,watched episode,10,1725652909,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,25,89519,77
783944828,ANIME_LIST,watched episode,6 - 7,1725646168,Shoushimin Series,23,30867,71
783762199,ANIME_LIST,watched episode,1,1725606766,[Oshi no Ko] 2nd Season,24,93911,84
783747877,ANIME_LIST,watched episode,2,1725603430,ID: INVADED,25,100513,77
783747869,ANIME_LIST,watched episode,2,1725603429,Asobi Asobase,24,118649,79
783555211,ANIME_LIST,watched episode,7,1725565970,Non Non Biyori,24,101430,78
783325333,ANIME_LIST,watched episode,7 - 8,1725520108,Monogatari Series: Off & Monster Season,,23923,89
783251814,ANIME_LIST,watched episode,6,1725504175,Non Non Biyori,24,101430,78
783115969,ANIME_LIST,watched episode,5 - 8,1725479724,Make Heroine ga Oosugiru!,24,48553,81
782885929,ANIME_LIST,watched episode,5 - 6,1725434523,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,26,270701,82
782758811,ANIME_LIST,watched episode,4,1725408153,Make Heroine ga Oosugiru!,24,48553,81
782723126,MANGA_LIST,read chapter,1,1725401375,Hotel,,6731,70
782673793,ANIME_LIST,watched episode,9,1725393335,Giji Harem,24,39836,72
782438449,ANIME_LIST,watched episode,5,1725347053,Non Non Biyori,24,101430,78
782432123,ANIME_LIST,watched episode,5,1725345611,Shoushimin Series,23,30867,71
781665736,MANGA_LIST,read chapter,8,1725210255,Unnamed Memory,,3215,71
781658674,MANGA_LIST,read chapter,39,1725209234,Giji Harem,,21009,77
781462770,MANGA_LIST,read chapter,24,1725174596,"Kanojo ni Uwaki Sareteita Ore ga, Koakuma na Kouhai ni Idakareteimasu",,2629,66
781459552,ANIME_LIST,watched episode,3,1725173942,Make Heroine ga Oosugiru!,24,48553,81
781459538,ANIME_LIST,watched episode,4,1725173940,Shoushimin Series,23,30867,71
781197457,MANGA_LIST,read chapter,23,1725126558,"Kanojo ni Uwaki Sareteita Ore ga, Koakuma na Kouhai ni Idakareteimasu",,2629,66
780992870,ANIME_LIST,watched episode,4,1725087286,Non Non Biyori,24,101430,78
780512770,ANIME_LIST,watched episode,1,1724991853,Asobi Asobase,24,118649,79
780512767,ANIME_LIST,watched episode,1,1724991852,ID: INVADED,25,100513,77
780392220,MANGA_LIST,read chapter,7,1724968808,Unnamed Memory,,3215,71
780344257,ANIME_LIST,watched episode,8,1724961533,Giji Harem,24,39836,72
780096951,ANIME_LIST,completed,,1724914992,Tokubetsu-hen Hibike! Euphonium: Ensemble Contest,58,12908,79
780074310,ANIME_LIST,watched episode,3 - 4,1724909928,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,26,270701,82
779873316,ANIME_LIST,watched episode,9,1724875038,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,25,89519,77
779615245,ANIME_LIST,rewatched,1,1724828214,Hibike! Euphonium: Chikai no Finale,100,27594,77
779568346,ANIME_LIST,watched episode,3,1724818824,Shoushimin Series,23,30867,71
779460169,ANIME_LIST,watched episode,7,1724800999,Giji Harem,24,39836,72
779374285,ANIME_LIST,watched episode,8,1724788600,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,25,89519,77
779094276,ANIME_LIST,watched episode,2,1724741484,Shoushimin Series,23,30867,71
778838454,ANIME_LIST,watched episode,7,1724697232,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,25,89519,77
778800645,ANIME_LIST,watched episode,1,1724690890,Shoushimin Series,23,30867,71
778613579,ANIME_LIST,completed,,1724652854,Monogatari Series: Off & Monster Season - Zankoku Douwa: Utsukushi-hime,13,4804,78
778603440,ANIME_LIST,watched episode,5 - 6,1724650705,Monogatari Series: Off & Monster Season,,23923,89
778532249,ANIME_LIST,watched episode,33,1724636708,JoJo no Kimyou na Bouken: Ougon no Kaze,24,230009,84
778062863,ANIME_LIST,watched episode,32,1724554396,JoJo no Kimyou na Bouken: Ougon no Kaze,24,230009,84
777172990,ANIME_LIST,paused watching,1,1724374016,HELLSING,23,106820,71
777072803,ANIME_LIST,watched episode,6,1724356793,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,25,89519,77
776836912,ANIME_LIST,watched episode,6,1724310786,Giji Harem,24,39836,72
776824318,ANIME_LIST,watched episode,4,1724307826,Monogatari Series: Off & Monster Season,,23923,89
776604071,MANGA_LIST,read chapter,6,1724266076,Unnamed Memory,,3215,71
776601403,ANIME_LIST,watched episode,2,1724265636,Make Heroine ga Oosugiru!,24,48553,81
776396310,ANIME_LIST,watched episode,1 - 2,1724223287,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,26,270701,82
776343877,ANIME_LIST,watched episode,3,1724210817,Monogatari Series: Off & Monster Season,,23923,89
776188525,ANIME_LIST,watched episode,5,1724181429,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,25,89519,77
776142820,MANGA_LIST,read chapter,89 - 90,1724173910,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,,12751,86
775969022,ANIME_LIST,completed,,1724137577,GIRLS BAND CRY,24,31165,84
775969017,ANIME_LIST,watched episode,12,1724137576,GIRLS BAND CRY,24,31165,84
775688975,MANGA_LIST,read chapter,86 - 88,1724084923,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,,12751,86
775517617,ANIME_LIST,watched episode,1,1724049064,Make Heroine ga Oosugiru!,24,48553,81
775389081,ANIME_LIST,watched episode,29 - 31,1724024184,JoJo no Kimyou na Bouken: Ougon no Kaze,24,230009,84
775101493,MANGA_LIST,read chapter,5,1723981474,Unnamed Memory,,3215,71
774652665,MANGA_LIST,read chapter,85,1723899233,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,,12751,86
774544241,ANIME_LIST,watched episode,5,1723874219,Giji Harem,24,39836,72
774426628,ANIME_LIST,watched episode,4,1723848948,Giji Harem,24,39836,72
774410232,MANGA_LIST,read chapter,84,1723846149,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,,12751,86
773986229,ANIME_LIST,watched episode,2,1723759846,ef: a tale of memories.,24,41518,75
773692101,ANIME_LIST,watched episode,4,1723703320,Tokidoki Bosotto Russiago de Dereru Tonari no Alya-san,25,89519,77
773381072,MANGA_LIST,completed,,1723644155,Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch,,7777,89
773380994,MANGA_LIST,read chapter,32 - 40,1723644138,Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch,,7777,89
773250672,ANIME_LIST,watched episode,11,1723613281,GIRLS BAND CRY,24,31165,84
772746849,MANGA_LIST,read chapter,31,1723513104,Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch,,7777,89
772585813,MANGA_LIST,read chapter,27,1723485416,Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch,,7777,89
771936494,MANGA_LIST,read chapter,4,1723366496,Unnamed Memory,,3215,71
771785929,MANGA_LIST,read chapter,3,1723334782,Unnamed Memory,,3215,71
770997266,MANGA_LIST,read chapter,1 - 2,1723173991,Unnamed Memory,,3215,71
769765825,MANGA_LIST,read chapter,27,1722938186,Subete no Jinrui wo Hakai Suru. Sorera wa Saisei Dekinai.,,7979,76
769641057,MANGA_LIST,read chapter,26,1722909428,Subete no Jinrui wo Hakai Suru. Sorera wa Saisei Dekinai.,,7979,76
768766599,MANGA_LIST,read chapter,26,1722750875,Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch,,7777,89
768503017,MANGA_LIST,read chapter,21,1722702870,Umineko no Naku Koro ni Chiru Episode 8: Twilight of the Golden Witch,,7777,89
768503006,MANGA_LIST,read chapter,24,1722702868,Subete no Jinrui wo Hakai Suru. Sorera wa Saisei Dekinai.,,7979,76
768226654,ANIME_LIST,watched episode,1,1722642936,Tsue to Tsurugi no Wistoria,24,59128,76
767891081,ANIME_LIST,watched episode,9 - 10,1722576562,GIRLS BAND CRY,24,31165,84
767466297,ANIME_LIST,watched episode,3,1722490815,Non Non Biyori,24,101430,78
767466284,ANIME_LIST,watched episode,3,1722490812,Giji Harem,24,39836,72
766974159,ANIME_LIST,watched episode,26 - 28,1722392853,JoJo no Kimyou na Bouken: Ougon no Kaze,24,230009,84
766571020,ANIME_LIST,rewatched,1,1722316335,Liz to Aoi Tori,90,56790,83
766529686,ANIME_LIST,watched episode,8,1722308119,GIRLS BAND CRY,24,31165,84
766520011,ANIME_LIST,watched episode,2,1722303833,Monogatari Series: Off & Monster Season,,23923,89
766279910,ANIME_LIST,watched episode,2,1722233248,ATRI: My Dear Moments,24,19339,69
766228057,ANIME_LIST,watched episode,24 - 25,1722219314,JoJo no Kimyou na Bouken: Ougon no Kaze,24,230009,84
766140645,ANIME_LIST,watched episode,9,1722203059,Boku no Kokoro no Yabai Yatsu 2nd Season,23,53219,87
765699130,MANGA_LIST,read chapter,5,1722124423,Netoge no Yome ga Ninki Idol Datta: Cool kei no Kanojo wa Genjitsu demo Yome no Tsumori de Iru,,3695,61
765697951,MANGA_LIST,read chapter,3 - 5,1722124211,"Yatara to Sasshi no Ii Ore wa, Dokuzetsu Kuudere Bishoujo no Chiisana Dere mo Minogasazu ni Guigui Iku",,2756,64
